Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Kuwait,2006,Female,15-24 year olds,Percent,98.49927024
Kuwait,2005,Female,15-24 year olds,Percent,99.7875929
Kuwait,2005,Male,15-24 year olds,Percent,99.69097015
Kuwait,2005,All genders,15-24 year olds,Percent,99.73336417
Kuwait,1995,All genders,15-24 year olds,Percent,92.04306281
Kuwait,1995,Female,15-24 year olds,Percent,90.18480527
Kuwait,1995,Male,15-24 year olds,Percent,93.79988506
Kuwait,1985,Male,15-24 year olds,Percent,90.69232672
Kuwait,1985,Female,15-24 year olds,Percent,84.0937029
Kuwait,1985,All genders,15-24 year olds,Percent,87.45606028
Kuwait,1980,All genders,15-24 year olds,Percent,78.97543653
Kuwait,1980,Male,15-24 year olds,Percent,81.28816187
Kuwait,1980,Female,15-24 year olds,Percent,76.03035664
Kuwait,1975,Female,15-24 year olds,Percent,66.01071603
Kuwait,1975,Male,15-24 year olds,Percent,77.6922252
Kuwait,1975,All genders,15-24 year olds,Percent,72.22215886
Kyrgyzstan,2009,All genders,15-24 year olds,Percent,99.75185022
Kyrgyzstan,2009,Female,15-24 year olds,Percent,99.7995877
Kyrgyzstan,2009,Male,15-24 year olds,Percent,99.70462783
Kyrgyzstan,1999,Male,15-24 year olds,Percent,99.65077518
Kyrgyzstan,1999,All genders,15-24 year olds,Percent,99.69562703
Kyrgyzstan,1999,Female,15-24 year olds,Percent,99.74128644
Lao People's Democratic Republic,2005,All genders,15-24 year olds,Percent,83.93106284
Lao People's Democratic Republic,2005,Female,15-24 year olds,Percent,78.73984247
Lao People's Democratic Republic,2005,Male,15-24 year olds,Percent,89.1874908
Lao People's Democratic Republic,2001,Male,15-24 year olds,Percent,82.59932603
Lao People's Democratic Republic,2001,All genders,15-24 year olds,Percent,78.45798513
Lao People's Democratic Republic,2001,Female,15-24 year olds,Percent,74.68243088
Lao People's Democratic Republic,2000,Female,15-24 year olds,Percent,73.56058436
Lao People's Democratic Republic,2000,All genders,15-24 year olds,Percent,80.59855521
Lao People's Democratic Republic,2000,Male,15-24 year olds,Percent,88.06196841
Lao People's Democratic Republic,1995,Male,15-24 year olds,Percent,78.81579449
Lao People's Democratic Republic,1995,All genders,15-24 year olds,Percent,71.13363331
Lao People's Democratic Republic,1995,Female,15-24 year olds,Percent,64.05434798
Latvia,2011,All genders,15-24 year olds,Percent,99.83543131
Latvia,2011,Female,15-24 year olds,Percent,99.8701077
Latvia,2011,Male,15-24 year olds,Percent,99.80218873
Latvia,2000,Male,15-24 year olds,Percent,99.71818182
Latvia,2000,Female,15-24 year olds,Percent,99.78330803
Latvia,2000,All genders,15-24 year olds,Percent,99.7502644
Latvia,1989,All genders,15-24 year olds,Percent,99.78441105
Latvia,1989,Male,15-24 year olds,Percent,99.7500512
Latvia,1989,Female,15-24 year olds,Percent,99.82091651
Lebanon,2007,Male,15-24 year olds,Percent,98.39605772
Lebanon,2007,All genders,15-24 year olds,Percent,98.71478885
Lebanon,2007,Female,15-24 year olds,Percent,99.08229819
Lesotho,2009,Female,15-24 year olds,Percent,92.0938948
Lesotho,2009,All genders,15-24 year olds,Percent,83.19441043
Lesotho,2009,Male,15-24 year olds,Percent,74.18502802
Lesotho,2000,Male,15-24 year olds,Percent,84.8255814
Lesotho,2000,All genders,15-24 year olds,Percent,90.92690279
Lesotho,2000,Female,15-24 year olds,Percent,97.49608764
Liberia,2007,Female,15-24 year olds,Percent,37.17030747
Liberia,2007,All genders,15-24 year olds,Percent,49.0741093
Liberia,2007,Male,15-24 year olds,Percent,63.45102337
Liberia,2004,Male,15-24 year olds,Percent,63.0036
Liberia,2004,All genders,15-24 year olds,Percent,49.15212
Liberia,2004,Female,15-24 year olds,Percent,35.03327
Liberia,1994,Female,15-24 year olds,Percent,54.1893
Liberia,1994,All genders,15-24 year olds,Percent,59.98444
Liberia,1994,Male,15-24 year olds,Percent,65.76042
Liberia,1984,Male,15-24 year olds,Percent,62.82728967
Liberia,1984,All genders,15-24 year olds,Percent,47.63379359
Liberia,1984,Female,15-24 year olds,Percent,33.72455728
Libyan Arab Jamahiriya,2012,All genders,15-24 year olds,Percent,99.91581
Libyan Arab Jamahiriya,2012,Female,15-24 year olds,Percent,99.88217
Libyan Arab Jamahiriya,2012,Male,15-24 year olds,Percent,99.94915
Libyan Arab Jamahiriya,2004,Male,15-24 year olds,Percent,99.84897
Libyan Arab Jamahiriya,2004,All genders,15-24 year olds,Percent,99.64939
Libyan Arab Jamahiriya,2004,Female,15-24 year olds,Percent,99.4417
Libyan Arab Jamahiriya,1994,Female,15-24 year olds,Percent,80.3106
Libyan Arab Jamahiriya,1994,All genders,15-24 year olds,Percent,89.3379
Libyan Arab Jamahiriya,1994,Male,15-24 year olds,Percent,97.85204
Libyan Arab Jamahiriya,1984,Male,15-24 year olds,Percent,97.8520369
Libyan Arab Jamahiriya,1984,All genders,15-24 year olds,Percent,89.33790064
Libyan Arab Jamahiriya,1984,Female,15-24 year olds,Percent,80.31060178
Lithuania,2011,All genders,15-24 year olds,Percent,99.85580122
Lithuania,2011,Male,15-24 year olds,Percent,99.84547061
Lithuania,2011,Female,15-24 year olds,Percent,99.86662173
Lithuania,2001,Female,15-24 year olds,Percent,99.74238274
Lithuania,2001,Male,15-24 year olds,Percent,99.66222096
Lithuania,2001,All genders,15-24 year olds,Percent,99.70166645
Lithuania,1989,All genders,15-24 year olds,Percent,99.67376018
Lithuania,1989,Male,15-24 year olds,Percent,99.64117771
Lithuania,1989,Female,15-24 year olds,Percent,99.70846556
Macao Special Administrative Region of China,2011,Male,15-24 year olds,Percent,99.65497164
Macao Special Administrative Region of China,2011,All genders,15-24 year olds,Percent,99.67290262
Macao Special Administrative Region of China,2011,Female,15-24 year olds,Percent,99.69008264
Macao Special Administrative Region of China,2006,Female,15-24 year olds,Percent,99.69965524
Macao Special Administrative Region of China,2006,All genders,15-24 year olds,Percent,99.64424286
Macao Special Administrative Region of China,2006,Male,15-24 year olds,Percent,99.58699358
Macao Special Administrative Region of China,2001,Male,15-24 year olds,Percent,99.43008615
Macao Special Administrative Region of China,2001,All genders,15-24 year olds,Percent,99.63354171
Macao Special Administrative Region of China,2001,Female,15-24 year olds,Percent,99.81015935
Macao Special Administrative Region of China,1981,Female,15-24 year olds,Percent,94.20512329
Macao Special Administrative Region of China,1981,All genders,15-24 year olds,Percent,94.70311833
Macao Special Administrative Region of China,1981,Male,15-24 year olds,Percent,95.14238565
Madagascar,2009,Male,15-24 year olds,Percent,65.91478394
Madagascar,2009,All genders,15-24 year olds,Percent,64.94024867
Madagascar,2009,Female,15-24 year olds,Percent,63.96708358
Madagascar,2000,Female,15-24 year olds,Percent,68.18622696
Madagascar,2000,All genders,15-24 year olds,Percent,70.23622047
Madagascar,2000,Male,15-24 year olds,Percent,72.65446224
Malawi,2010,Male,15-24 year olds,Percent,74.26925428
Malawi,2010,All genders,15-24 year olds,Percent,72.13956438
Malawi,2010,Female,15-24 year olds,Percent,69.98173537
Malawi,1998,Female,15-24 year olds,Percent,70.70072002
Malawi,1998,All genders,15-24 year olds,Percent,76.00750074
Malawi,1998,Male,15-24 year olds,Percent,82.09122921
Malawi,1987,All genders,15-24 year olds,Percent,59.01768527
Malawi,1987,Male,15-24 year olds,Percent,70.44065303
Malawi,1987,Female,15-24 year olds,Percent,49.12807252
Malaysia,2010,Female,15-24 year olds,Percent,98.45826269
Malaysia,2010,All genders,15-24 year olds,Percent,98.41871381
Malaysia,2010,Male,15-24 year olds,Percent,98.38103824
Malaysia,2000,Male,15-24 year olds,Percent,97.20814304
Malaysia,2000,All genders,15-24 year olds,Percent,97.23780152
Malaysia,2000,Female,15-24 year olds,Percent,97.26772033
Malaysia,1991,Female,15-24 year olds,Percent,95.22214433
Malaysia,1991,All genders,15-24 year olds,Percent,95.56388111
Malaysia,1991,Male,15-24 year olds,Percent,95.90643847
Malaysia,1980,Male,15-24 year olds,Percent,89.49591496
Malaysia,1980,All genders,15-24 year olds,Percent,87.96863514
Malaysia,1980,Female,15-24 year olds,Percent,86.53148293
Maldives,2006,All genders,15-24 year olds,Percent,99.30100661
Maldives,2006,Female,15-24 year olds,Percent,99.3606486
Maldives,2006,Male,15-24 year olds,Percent,99.24021851
Maldives,2000,Male,15-24 year olds,Percent,98.03438683
Maldives,2000,All genders,15-24 year olds,Percent,98.1701231
Maldives,2000,Female,15-24 year olds,Percent,98.2986441
Maldives,1995,Female,15-24 year olds,Percent,98.2986441
Maldives,1995,Male,15-24 year olds,Percent,98.03438683
Maldives,1995,All genders,15-24 year olds,Percent,98.1701231
Maldives,1990,Male,15-24 year olds,Percent,98.07730624
Maldives,1990,Female,15-24 year olds,Percent,98.31548153
Maldives,1990,All genders,15-24 year olds,Percent,98.19961715
Maldives,1985,All genders,15-24 year olds,Percent,95.53618595
Maldives,1985,Male,15-24 year olds,Percent,94.88721004
Maldives,1985,Female,15-24 year olds,Percent,96.17603861
Maldives,1977,Female,15-24 year olds,Percent,87.11928473
Maldives,1977,Male,15-24 year olds,Percent,84.1303729
Maldives,1977,All genders,15-24 year olds,Percent,85.60897551
Mali,2011,Male,15-24 year olds,Percent,56.31502241
Mali,2011,All genders,15-24 year olds,Percent,47.13697999
Mali,2011,Female,15-24 year olds,Percent,39.00856471
Mali,2010,Female,15-24 year olds,Percent,33.94570873
Mali,2010,All genders,15-24 year olds,Percent,44.30170934
Mali,2010,Male,15-24 year olds,Percent,56.3712713
Mali,2006,Male,15-24 year olds,Percent,47.37996632
Mali,2006,All genders,15-24 year olds,Percent,38.81612057
Mali,2006,Female,15-24 year olds,Percent,30.79845511
Mali,2003,Female,15-24 year olds,Percent,23.91412
Mali,2003,All genders,15-24 year olds,Percent,30.54688
Mali,2003,Male,15-24 year olds,Percent,36.97091
Mali,1998,Male,15-24 year olds,Percent,32.25118119
Mali,1998,All genders,15-24 year olds,Percent,24.18666567
Mali,1998,Female,15-24 year olds,Percent,16.86067285
Mali,1976,Female,15-24 year olds,Percent,13.47465284
Mali,1976,All genders,15-24 year olds,Percent,19.64622759
Mali,1976,Male,15-24 year olds,Percent,26.6656264
Malta,2005,Male,15-24 year olds,Percent,97.45976278
Malta,2005,All genders,15-24 year olds,Percent,98.26503038
Malta,2005,Female,15-24 year olds,Percent,99.1107347
Malta,1995,Female,15-24 year olds,Percent,97.80652837
Malta,1995,Male,15-24 year olds,Percent,94.3650655
Malta,1995,All genders,15-24 year olds,Percent,96.03227491
Malta,1985,All genders,15-24 year olds,Percent,98.21375099
Malta,1985,Male,15-24 year olds,Percent,97.4337623
Malta,1985,Female,15-24 year olds,Percent,99.0451599
Martinique,2012,Female,15-24 year olds,Percent,99.81943
Martinique,2012,All genders,15-24 year olds,Percent,99.8789
Martinique,2012,Male,15-24 year olds,Percent,99.93907
Martinique,2004,Male,15-24 year olds,Percent,99.70686
Martinique,2004,Female,15-24 year olds,Percent,99.33742
Martinique,2004,All genders,15-24 year olds,Percent,99.52312
Martinique,1994,All genders,15-24 year olds,Percent,99.53008
Martinique,1994,Female,15-24 year olds,Percent,99.34595
Martinique,1994,Male,15-24 year olds,Percent,99.71271
Martinique,1982,Male,15-24 year olds,Percent,99.20893314
Martinique,1982,All genders,15-24 year olds,Percent,98.86298291
Martinique,1982,Female,15-24 year olds,Percent,98.53625067
Mauritania,2007,Female,15-24 year olds,Percent,47.71239173
Mauritania,2007,All genders,15-24 year olds,Percent,56.12243472
Mauritania,2007,Male,15-24 year olds,Percent,66.39988075
Mauritania,2000,Male,15-24 year olds,Percent,67.7326544
Mauritania,2000,Female,15-24 year olds,Percent,55.48371101
Mauritania,2000,All genders,15-24 year olds,Percent,61.33664597
Mauritius,2011,Female,15-24 year olds,Percent,98.57592455
Mauritius,2011,Male,15-24 year olds,Percent,97.68915393
Mauritius,2011,All genders,15-24 year olds,Percent,98.13035494
Mauritius,2000,Male,15-24 year olds,Percent,93.72183839
Mauritius,2000,Female,15-24 year olds,Percent,95.36189684
Mauritius,2000,All genders,15-24 year olds,Percent,94.538963
Mauritius,1990,Female,15-24 year olds,Percent,91.70590034
Mauritius,1990,Male,15-24 year olds,Percent,90.69556829
Mauritius,1990,All genders,15-24 year olds,Percent,91.19199263
MDG_Caribbean,2014,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2014,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2014,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2012,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2012,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2012,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2011,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2011,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2011,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2010,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2010,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2010,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2009,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2009,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2009,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2008,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2008,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2008,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2007,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2007,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2007,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2006,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2006,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2006,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2005,Male,15-24 year olds,Percent,91.19725663
MDG_Caribbean,2005,Female,15-24 year olds,Percent,90.71756806
MDG_Caribbean,2005,All genders,15-24 year olds,Percent,90.93114702
MDG_Caribbean,2004,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,2004,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,2004,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,2003,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,2003,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,2003,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,2002,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,2002,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,2002,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,2001,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,2001,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,2001,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,2000,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,2000,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,2000,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,1999,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,1999,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,1999,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,1998,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,1998,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,1998,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,1997,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,1997,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,1997,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,1996,Female,15-24 year olds,Percent,91.97703625
MDG_Caribbean,1996,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,1996,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,1995,Male,15-24 year olds,Percent,91.28162275
MDG_Caribbean,1995,All genders,15-24 year olds,Percent,91.59837801
MDG_Caribbean,1995,Female,15-24 year olds,Percent,91.97703625
MDG_Caucasus and Central Asia,2014,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2014,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2014,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2012,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2012,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2012,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2011,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2011,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2011,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2010,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2010,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2010,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2009,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2009,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2009,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2008,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2008,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2008,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2007,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2007,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2007,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2006,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2006,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2006,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2005,All genders,15-24 year olds,Percent,99.88042726
MDG_Caucasus and Central Asia,2005,Female,15-24 year olds,Percent,99.91721828
MDG_Caucasus and Central Asia,2005,Male,15-24 year olds,Percent,99.84460569
MDG_Caucasus and Central Asia,2004,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,2004,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,2004,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,2003,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,2003,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,2003,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,2002,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,2002,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,2002,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,2001,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,2001,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,2001,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,2000,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,2000,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,2000,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,1999,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,1999,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,1999,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,1998,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,1998,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,1998,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,1997,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,1997,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,1997,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,1996,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,1996,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,1996,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,1995,Male,15-24 year olds,Percent,99.82220248
MDG_Caucasus and Central Asia,1995,All genders,15-24 year olds,Percent,99.84533461
MDG_Caucasus and Central Asia,1995,Female,15-24 year olds,Percent,99.86830331
MDG_Caucasus and Central Asia,1994,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1994,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1994,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1993,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1993,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1993,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1992,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1992,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1992,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1991,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1991,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1991,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1990,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1990,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1990,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1989,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1989,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1989,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1988,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1988,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1988,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1987,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1987,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1987,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1986,All genders,15-24 year olds,Percent,99.80436747
MDG_Caucasus and Central Asia,1986,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1986,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1985,Male,15-24 year olds,Percent,99.80026556
MDG_Caucasus and Central Asia,1985,Female,15-24 year olds,Percent,99.80864032
MDG_Caucasus and Central Asia,1985,All genders,15-24 year olds,Percent,99.80436747
MDG_Developed regions,2014,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2014,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2014,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2012,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2012,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2012,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2011,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2011,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2011,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2010,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2010,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2010,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2009,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2009,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2009,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2008,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2008,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2008,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2007,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2007,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2007,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2006,Female,15-24 year olds,Percent,99.64695222
MDG_Developed regions,2006,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2006,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2005,Male,15-24 year olds,Percent,99.66615819
MDG_Developed regions,2005,All genders,15-24 year olds,Percent,99.65643387
MDG_Developed regions,2005,Female,15-24 year olds,Percent,99.64695222
MDG_Developing regions,2014,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2014,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2014,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2012,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2012,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2012,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2011,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2011,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2011,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2010,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2010,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2010,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2009,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2009,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2009,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2008,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2008,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2008,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2007,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2007,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2007,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2006,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2006,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2006,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2005,All genders,15-24 year olds,Percent,87.88598455
MDG_Developing regions,2005,Female,15-24 year olds,Percent,84.98981896
MDG_Developing regions,2005,Male,15-24 year olds,Percent,90.94398145
MDG_Developing regions,2004,Male,15-24 year olds,Percent,88.88520145
MDG_Developing regions,2004,Female,15-24 year olds,Percent,81.23530408
MDG_Developing regions,2004,All genders,15-24 year olds,Percent,85.10338158
MDG_Developing regions,2003,All genders,15-24 year olds,Percent,85.10338158
MDG_Developing regions,2003,Male,15-24 year olds,Percent,88.88520145
MDG_Developing regions,2003,Female,15-24 year olds,Percent,81.23530408
MDG_Developing regions,2002,Male,15-24 year olds,Percent,88.88520145
MDG_Developing regions,2002,All genders,15-24 year olds,Percent,85.10338158
MDG_Developing regions,2002,Female,15-24 year olds,Percent,81.23530408
MDG_Developing regions,2001,Female,15-24 year olds,Percent,81.23530408
MDG_Developing regions,2001,All genders,15-24 year olds,Percent,85.10338158
MDG_Developing regions,2001,Male,15-24 year olds,Percent,88.88520145
MDG_Developing regions,2000,Male,15-24 year olds,Percent,88.88520145
MDG_Developing regions,2000,All genders,15-24 year olds,Percent,85.10338158
MDG_Developing regions,2000,Female,15-24 year olds,Percent,81.23530408
